State,City,LocationType,SpecificLocation,TimeOfDay,CrowdDensity,Lighting,Weather,CrimeRate,AccidentRisk,SafetyIndex,EmergencySOS,CommunityReports,AccessibilityMode,TravelCompanion,HealthAlerts
Chhattisgarh,Raipur,Residential,Metro Station,Evening,Medium,Poor,Clear,Low,Low,38,Disabled,10 reports,VoiceOnly,English+Kannada,StormWarning=Active
Gujarat,Ahmedabad,Public,Metro Station,Morning,High,Good,Stormy,Medium,High,66,Disabled,17 reports,VibrationOnly,English+Assamese,FloodAlert=Active
Odisha,Puri,Urban,Railway Station,Evening,Medium,Poor,Rainy,Medium,Low,85,Disabled,0 reports,Voice+LargeButtons,English+Tamil,StormWarning=Active
Haryana,Faridabad,Sensitive,Railway Station,Night,Low,Good,Sunny,High,Medium,50,Disabled,15 reports,VoiceOnly,English+Kannada,Heatwave=Moderate
Maharashtra,Mumbai,Urban,Forest Path,Evening,High,Poor,Sunny,Low,Medium,44,Enabled,5 reports,Voice+LargeButtons,English+Kannada,Heatwave=Moderate
Chhattisgarh,Raipur,Transit,Metro Station,Night,Low,Poor,Foggy,High,Low,56,Disabled,8 reports,VoiceOnly,English+Telugu,AQI=Poor
Gujarat,Ahmedabad,Transit,Metro Station,Evening,Low,Poor,Rainy,Low,High,15,Disabled,2 reports,VoiceOnly,English+Gujarati,AQI=Poor
Delhi,Dwarka,Transit,Apartment Complex,Evening,High,Poor,Rainy,Medium,Low,14,Enabled,9 reports,VoiceOnly,English+Malayalam,Heatwave=Moderate
Haryana,Panipat,Transit,Forest Path,Afternoon,High,Poor,Stormy,Low,Low,82,Enabled,2 reports,Voice+LargeButtons,English+Bengali,AQI=Good
Jharkhand,Jamshedpur,Public,Metro Station,Morning,Low,Poor,Stormy,High,High,49,Disabled,19 reports,Voice+LargeButtons,English+Hindi,FloodAlert=Active
Maharashtra,Pune,Industrial,Railway Station,Evening,Low,Good,Clear,High,High,17,Enabled,6 reports,VoiceOnly,English+Punjabi,Heatwave=Moderate
Chhattisgarh,Raipur,Transit,Beach,Night,High,Poor,Rainy,Low,Low,98,Enabled,4 reports,Voice+Vibration,English+Assamese,AQI=Good
Uttar Pradesh,Varanasi,Public,Railway Station,Morning,High,Poor,Sunny,Low,Low,15,Enabled,14 reports,Voice+LargeButtons,English+Hindi,StormWarning=Active
Telangana,Nizamabad,Public,Factory Zone,Morning,High,Good,Clear,High,Low,58,Disabled,12 reports,Voice+Vibration,English+Bengali,FloodAlert=Active
Meghalaya,Jowai,Sensitive,City Market,Afternoon,Low,Poor,Rainy,Low,Medium,39,Enabled,1 reports,Voice+LargeButtons,English+Malayalam,FloodAlert=Active
Tamil Nadu,Coimbatore,Tourist,Park,Evening,Low,Poor,Rainy,High,Medium,47,Enabled,12 reports,VibrationOnly,English+Punjabi,AQI=Moderate
Nagaland,Mokokchung,Sensitive,Metro Station,Night,Medium,Poor,Sunny,Low,Low,23,Disabled,9 reports,Voice+LargeButtons,English+Gujarati,StormWarning=Active
Delhi,Connaught Place,Urban,Factory Zone,Night,Low,Good,Clear,Medium,High,56,Disabled,7 reports,Voice+LargeButtons,English+Hindi,AQI=Poor
Gujarat,Ahmedabad,Urban,Apartment Complex,Evening,High,Poor,Sunny,High,High,84,Enabled,2 reports,Voice+LargeButtons,English+Tamil,Heatwave=Moderate
Kerala,Kozhikode,Industrial,Park,Night,Medium,Good,Foggy,High,High,40,Enabled,6 reports,Voice+Vibration,English+Hindi,AQI=Poor
Uttar Pradesh,Lucknow,Public,Factory Zone,Evening,High,Poor,Sunny,High,Low,33,Disabled,15 reports,VoiceOnly,English+Punjabi,AQI=Poor
Meghalaya,Shillong,Industrial,Temple Area,Afternoon,Low,Poor,Clear,Medium,Medium,22,Enabled,10 reports,Voice+LargeButtons,English+Hindi,FloodAlert=Active
Meghalaya,Tura,Public,Bus Stop,Night,High,Good,Sunny,Low,Medium,63,Disabled,11 reports,Voice+Vibration,English+Tamil,AQI=Poor
Kerala,Thiruvananthapuram,Transit,Forest Path,Afternoon,Medium,Poor,Foggy,High,High,30,Enabled,9 reports,VibrationOnly,English+Tamil,FloodAlert=Active
Chhattisgarh,Bilaspur,Public,Metro Station,Night,Medium,Good,Stormy,High,High,45,Enabled,6 reports,Voice+Vibration,English+Gujarati,Heatwave=Moderate
Uttar Pradesh,Lucknow,Tourist,Beach,Evening,High,Good,Rainy,Low,High,56,Enabled,8 reports,VoiceOnly,English+Malayalam,AQI=Good
Chhattisgarh,Bilaspur,Urban,Temple Area,Morning,High,Poor,Foggy,High,High,50,Enabled,0 reports,Voice+Vibration,English+Malayalam,FloodAlert=Active
Chhattisgarh,Korba,Urban,Temple Area,Morning,High,Poor,Stormy,Medium,Low,96,Disabled,18 reports,VibrationOnly,English+Tamil,AQI=Good
Assam,Guwahati,Tourist,City Market,Morning,Medium,Poor,Rainy,Low,Medium,23,Enabled,17 reports,Voice+LargeButtons,English+Hindi,AQI=Good
Odisha,Bhubaneswar,Industrial,City Market,Morning,Medium,Poor,Clear,High,High,40,Enabled,13 reports,VibrationOnly,English+Malayalam,AQI=Poor
Goa,Margao,Public,Temple Area,Night,Medium,Good,Stormy,High,Medium,31,Enabled,13 reports,VoiceOnly,English+Kannada,AQI=Moderate
Uttar Pradesh,Varanasi,Sensitive,Temple Area,Morning,High,Good,Clear,High,High,90,Disabled,0 reports,VibrationOnly,English+Bengali,StormWarning=Active
Rajasthan,Jaipur,Sensitive,Factory Zone,Morning,High,Good,Sunny,High,High,89,Disabled,10 reports,VoiceOnly,English+Hindi,AQI=Moderate
Telangana,Hyderabad,Residential,Park,Afternoon,Low,Good,Sunny,Low,High,93,Enabled,13 reports,Voice+Vibration,English+Punjabi,Heatwave=Moderate
Tamil Nadu,Chennai,Transit,Temple Area,Night,Low,Good,Sunny,Low,Low,44,Enabled,8 reports,VoiceOnly,English+Tamil,AQI=Good
Telangana,Warangal,Urban,Factory Zone,Afternoon,Medium,Poor,Clear,Low,Medium,66,Enabled,16 reports,Voice+Vibration,English+Hindi,AQI=Moderate
Chhattisgarh,Raipur,Residential,Metro Station,Morning,High,Good,Stormy,High,Medium,40,Disabled,2 reports,VoiceOnly,English+Hindi,AQI=Poor
Rajasthan,Jodhpur,Urban,Bus Stop,Night,Medium,Poor,Foggy,Low,Low,31,Enabled,8 reports,Voice+LargeButtons,English+Telugu,AQI=Moderate
Goa,Margao,Public,Forest Path,Night,Medium,Good,Sunny,Medium,High,40,Disabled,20 reports,Voice+LargeButtons,English+Hindi,AQI=Good
Maharashtra,Pune,Residential,Metro Station,Evening,Medium,Poor,Clear,High,Low,51,Disabled,10 reports,VibrationOnly,English+Hindi,FloodAlert=Active
Assam,Silchar,Residential,Temple Area,Night,High,Good,Stormy,Low,Medium,24,Disabled,2 reports,VoiceOnly,English+Hindi,AQI=Moderate
Tamil Nadu,Madurai,Industrial,Metro Station,Night,Medium,Poor,Sunny,Medium,High,91,Enabled,15 reports,VibrationOnly,English+Assamese,Heatwave=Moderate
Tamil Nadu,Madurai,Industrial,Apartment Complex,Evening,Low,Good,Foggy,High,Low,92,Disabled,9 reports,Voice+Vibration,English+Bengali,AQI=Good
Uttar Pradesh,Lucknow,Industrial,Factory Zone,Evening,High,Good,Stormy,High,Medium,34,Enabled,15 reports,VoiceOnly,English+Assamese,AQI=Poor
Tamil Nadu,Chennai,Residential,City Market,Night,High,Good,Rainy,Low,High,94,Disabled,7 reports,VibrationOnly,English+Telugu,Heatwave=Moderate
Maharashtra,Pune,Public,City Market,Evening,Medium,Good,Sunny,Low,Low,60,Enabled,19 reports,Voice+LargeButtons,English+Gujarati,AQI=Poor
